location,city,lat,lng,avg_val,count_measurements
ES2075A,Asturias,43.5228999994638,-5.689452,13.75,2
ES2069A,Navarra,43.0818999994643,-1.9127,13.0,2
ES2068A,Almería,36.9580999994837,-2.1592,4.0,2
ES2066A,Zaragoza,41.6591699994666,-0.9068,12.065,2
ES2064A,Pontevedra,42.2223999994655,-8.711082,21.064999999999998,2
ES2063A,Pontevedra,42.7164799994647,-8.644105,14.9,2
ES2061A,Valencia/València,39.425279999473,-0.4825,5.4,2
ES2055A,Asturias,43.5704499994637,-5.95828,1.3333333333333333,3
ES2054A,Asturias,43.4015009994639,-5.80287,5.0,2
ES2051A,Tarragona,40.5528194734694,0.529982528,6.5,2
ES2017A,Pontevedra,42.1814277694656,-8.52393055,3.0,2
ES2015A,Alicante/Alacant,37.9911111094788,-0.69,1.0,2
ES2008A,Valencia/València,39.705277769472,-0.33666666,2.5,2
ES1911A,Valencia/València,39.4802777694728,-0.33638888,4.5,2
ES1885A,Alicante/Alacant,38.2591666594776,-0.7175,5.5,2
ES1849A,Zaragoza,41.6483299994667,-0.88389,21.16,2
ES1837A,Zaragoza,41.6422199994667,-0.86194,29.71,2
ES1836A,Valencia/València,39.5513888794725,-0.46083333,13.05,2
ES1826A,Cádiz,36.7397499994849,-5.74372,3.0,2
ES1821A,Huelva,37.1337899994828,-6.80745,7.5,2
ES1792A,Valencia/València,39.6847222194721,-0.27888888,7.5,2
ES1765A,Jaén,38.174395999478,-3.01022,3.5,2
ES1718A,Valencia/València,38.9347222194748,-0.44138888,3.0,2
ES1709A,Castellón/Castelló,40.0541666594709,-0.46833333,2.0,2
ES1689A,Alicante/Alacant,38.0847222194784,-0.85277777,2.0,2
ES1677A,Alicante/Alacant,38.5713888794763,-0.14666666,7.0,2
ES1675A,Valencia/València,39.708055549472,-0.83194444,6.5,2
ES1671A,Valencia/València,39.5586111094725,-1.28138888,1.0,2
ES1670A,Cádiz,36.161739999488,-5.44255,5.0,2
ES1637A,Valencia/València,39.5094444394727,-0.41777777,8.0,2
ES1625A,Alicante/Alacant,38.2422222194777,-0.68277777,4.5,2
ES1624A,Alicante/Alacant,38.7063888794757,-0.46694444,1.5,2
ES1623A,Valencia/València,39.4780555494728,-0.36833333,4.5,2
ES1619A,Valencia/València,39.149999999474,-0.45777777,7.0,2
ES1617A,Valladolid,41.6833333294666,-4.74111111,6.0,2
ES1597A,Almería,37.2549699994822,-1.78174,8.5,2
ES1547A,Castellón/Castelló,40.7349999994689,-0.16944444,8.0,2
ES1543A,Castellón/Castelló,40.5547222194694,0.37277777,3.5,2
ES1542A,Castellón/Castelló,39.9819444394711,0.01055555,3.5,2
ES1445A,Castellón/Castelló,40.6372222194692,-0.09111111,4.0,2
ES1441A,Castellón/Castelló,40.691666659469,0.08472222,2.5,2
ES1437A,Castellón/Castelló,40.012777769471,-0.05722222,2.0,2
ES1386A,Burgos,42.6880555494648,-2.94055555,5.5,2
ES1346A,Huelva,37.3584399994817,-6.67846,9.0,2
