location,city,lat,lng,avg_val,count_measurements
Xert/Chert,,42.702168,0.91528,0.5247747747747744,222
STARLAB MOGA Tredos,,41.415127,2.131705,1.7543478260869563,184
Starlab Barcelona,,41.369755,2.137899,1.3225274725274723,182
Sants 3 Ràdio,,40.74286,-4.472696,0.6485576923076924,208
Santa María del Cubillo,,41.40033,2.145856,3.7095477386934674,199
Plaza Molina,,37.062893,-3.385861,13.825396825396826,189
Observatorio de Sierra Nevada,,37.0917,-2.363404,2759.750877192983,171
METAS,,36.75556,-4.069489,0.7806060606060605,165
La Vaguada James,,41.63295,-0.753018,2.413333333333333,165
La Puebla de Alfinden,,36.780224,-3.894598,4.641463414634149,164
La Molineta,,41.616116,-4.737996,2.123033707865169,178
JJ6- Línea circular,,43.336266,-8.352069,3.8600000000000008,205
Idaea_16,Navarra,43.0818999994643,-1.9127,0.10639269406392693,219
ES2068A,Zaragoza,41.6591699994666,-0.9068,11.905,2
ES2064A,Pontevedra,42.2223999994655,-8.711082,14.905,2
ES2063A,Pontevedra,42.7164799994647,-8.644105,11.0,2
ES2061A,Valencia/València,39.425279999473,-0.4825,7.0,2
ES2055A,Córdoba,37.8925999994792,-4.7801,10.64,2
ES2047A,Santa Cruz de Tenerife,28.0990499995529,-17.12051,9.64,2
ES2044A,Ourense,42.0616666594658,-7.40854166,4.4,2
ES2014A,Alicante/Alacant,37.9911111094788,-0.69,6.4,2
ES2008A,Almería,37.1934199994825,-1.9854,8.915,2
ES1996A,Madrid,40.3847222194699,-3.71861111,13.415,2
ES1943A,Granada,37.1656799994827,-3.6001,18.84,2
ES1924A,Valencia/València,39.4574999994729,-0.34277777,16.84,2
ES1912A,Valencia/València,39.705277769472,-0.33666666,6.0,2
ES1911A,Barcelona,41.5986669004668,2.287117688,5.5,2
ES1891A,Valencia/València,39.4802777694728,-0.33638888,8.0,2
ES1885A,Huelva,37.0160999994834,-6.57042,22.25,2
ES1878A,Castellón/Castelló,39.9452777694712,-0.05638888,19.75,2
ES1877A,Sevilla,37.5550199994808,-6.03616,4.385,2
ES1860A,Almería,36.9967799994835,-1.89535,16.905,2
ES1845A,Zaragoza,41.6422199994667,-0.86194,19.21,2
ES1836A,Barcelona,41.5267059304669,2.183795315,16.19,2
ES1817A,Córdoba,37.9027399994792,-4.77958,17.085,2
ES1800A,Córdoba,37.8926099994792,-4.76234,15.184999999999999,2
ES1799A,Navarra,42.5805599994649,-1.2825,9.6,2
ES1755A,Málaga,36.719639999485,-4.4475,8.780000000000001,2
ES1750A,Valencia/València,38.9347222194748,-0.44138888,8.780000000000001,2
ES1709A,Castellón/Castelló,40.0519444394709,-0.18972222,7.333333333333333,3
ES1685A,Barcelona,41.492082862467,2.042497085,12.5,2
ES1684A,Araba/Álava,42.8436111094645,-2.66138888,13.0,2
ES1673A,Valencia/València,39.708055549472,-0.83194444,4.5,2
ES1671A,Valencia/València,39.5586111094725,-1.28138888,1.0,2
ES1670A,Huelva,37.2714799994822,-6.92462,11.75,2
ES1658A,Jaén,37.7825499994797,-3.78157,18.85,2
ES1656A,Sevilla,37.3424599994818,-5.83372,15.865,2
ES1640A,Cádiz,36.4605899994864,-6.20307,13.985,2
ES1593A,Las Palmas,28.1337319995526,-15.432823,18.72,2
ES1573A,Granada,37.1960999994825,-3.61266,22.18,2
ES1560A,Castellón/Castelló,40.7349999994689,-0.16944444,9.68,2
ES1543A,Castellón/Castelló,39.9819444394711,0.01055555,1.0,2
ES1445A,Pontevedra,42.2027777694656,-8.74694444,7.0,2
ES1439A,Sevilla,37.3752499994817,-6.00558,16.36,2
ES1425A,Almería,36.8413299994843,-2.44672,34.3,2
ES1393A,Castellón/Castelló,40.012777769471,-0.05722222,24.94,2
ES1386A,Burgos,42.6880555494648,-2.94055555,2.5,2
ES1346A,Huelva,37.2533599994822,-6.93514,12.35,2
ES1340A,A Coruña,42.9099999994645,-8.50027777,16.35,2
ES1309A,Barcelona,41.6890494414666,2.495746675,8.5,2
ES1275A,Huelva,37.3584399994817,-6.67846,11.5,2
ES1259A,Huelva,37.2815599994821,-6.83384,18.9,2
ES1258A,Jaén,38.0929299994783,-3.78392,23.810000000000002,2
ES1253A,Valencia/València,39.4561111094729,-0.37583333,17.41,2
ES1239A,A Coruña,43.335277769464,-8.47194444,12.5,2
ES1234A,Tarragona,41.1507788944678,1.120171923,19.5,2
ES1208A,Valencia/València,39.6672222194722,-0.23472222,11.0,2
ES1185A,Valencia/València,39.4811111094728,-0.44722222,1.5,2
ES1181A,Barcelona,41.4256209034672,2.222244805,20.0,2
ES1148A,Zaragoza,41.6741699994666,-0.86417,25.02,2
ES1090A,Cádiz,36.159369999488,-5.34836,15.059999999999999,2
ES1072A,Huelva,37.3153999994819,-6.84463,27.04,2
ES0827A,Asturias,43.306656999464,-5.689716,23.5,2
ES0825A,Huelva,37.2672499994822,-6.91905,25.75,2
ES0785A,Cádiz,36.1753799994879,-5.48083,27.335,2
ES0712A,Barcelona,41.3921574584672,2.009802277,12.585,2
ES0694A,Barcelona,41.3705041074673,2.114973082,20.0,2
ES0692A,A Coruña,43.4499999994639,-7.84722222,18.3,2
ES0201A,,38.276432,-0.71009,6.3,2
Elx Carrus,,36.718216,-4.342426,4.469714285714284,175
